CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,RealBugCount
0.0,10.0,171.0,5.0,0.0,2.0,0.0,18.0,2.0,18.0,0.0,6.0,2.0,7.0,62.0,1.0,7.0,17.0,25.0,7.0,3.0,6.0,0.0,49.0,17.0,11.0,26.0,88.0,37.0,0.7,21.0,63.0,5.0,46.0,1.0,7.0,3.0,61.0,2.0,1.0,2.0,1.0,5.0,2.71428571428571,1.0,10.0,4.71428571428571,1.0,5.0,2.42857142857143,1.0,4.0,1.4,0.0,1.0,1.0,1.0,32.0,18.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
0.0,8.0,123.0,5.0,0.0,1.0,1.0,15.0,3.0,17.0,0.0,8.0,3.0,5.0,57.0,1.0,5.0,13.0,17.0,4.0,2.0,7.0,1.0,32.0,13.0,7.0,17.0,53.0,24.0,1.08,13.0,41.0,5.0,29.0,0.0,5.0,3.0,73.0,1.0,4.0,2.0,2.0,7.0,3.2,1.0,9.0,3.6,0.0,5.0,2.6,1.0,2.0,1.28571428571429,0.0,2.0,2.0,2.0,30.0,28.0,0.983739837398374,0.5,0.0,1.0,2.0,1.0,0.0
0.0,7.0,136.0,5.0,0.0,1.0,1.0,16.0,2.0,13.0,0.0,5.0,2.0,7.0,56.0,1.0,7.0,15.0,20.0,7.0,2.0,6.0,0.0,31.0,15.0,7.0,20.0,65.0,26.0,0.86,16.0,46.0,5.0,30.0,0.0,7.0,2.0,76.0,2.0,5.0,1.0,1.0,7.0,4.0,2.0,10.0,3.14285714285714,1.0,9.0,2.71428571428571,1.0,2.0,1.11111111111111,0.0,1.0,1.0,1.0,8.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
0.0,29.0,241.0,17.0,0.0,4.0,5.0,29.0,9.0,53.0,0.0,15.0,9.0,3.0,67.0,1.0,3.0,26.0,36.0,3.0,5.0,20.0,0.0,106.0,26.0,12.0,36.0,143.0,54.0,0.47,35.0,90.0,17.0,64.0,8.0,3.0,10.0,53.0,3.0,0.0,4.0,1.0,13.0,7.33333333333333,1.0,16.0,10.0,1.0,17.0,9.33333333333333,1.0,3.0,2.4,0.0,1.0,1.0,1.0,76.0,76.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
0.0,24.0,212.0,17.0,0.0,3.0,5.0,26.0,8.0,44.0,0.0,13.0,8.0,3.0,57.0,1.0,3.0,23.0,33.0,3.0,5.0,20.0,0.0,93.0,23.0,9.0,34.0,126.0,44.0,0.45,29.0,78.0,17.0,56.0,5.0,3.0,9.0,63.0,3.0,0.0,4.0,1.0,13.0,6.33333333333333,1.0,13.0,9.0,1.0,17.0,8.33333333333333,1.0,3.0,2.4,0.0,1.0,1.0,1.0,76.0,76.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
0.0,21.0,73.0,3.0,0.0,3.0,0.0,3.0,3.0,32.0,0.0,9.0,3.0,1.0,25.0,1.0,1.0,3.0,11.0,1.0,1.0,3.0,0.0,30.0,3.0,3.0,11.0,41.0,11.0,0.61,7.0,22.0,3.0,19.0,2.0,1.0,3.0,100.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,24.0,23.0,0.671232876712329,1.0,0.0,2.0,1.0,0.0,0.0
0.0,1.0,29.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,5.0,1.0,1.0,21.0,1.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,5.0,0.0,4.2,3.0,4.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
0.0,6.0,62.0,2.0,0.0,1.0,0.0,3.0,2.0,10.0,0.0,4.0,2.0,2.0,24.0,1.0,2.0,3.0,12.0,2.0,1.0,2.0,0.0,17.0,3.0,2.0,11.0,31.0,6.0,0.77,7.0,17.0,2.0,13.0,0.0,2.0,2.0,50.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,6.0,3.5,1.0,2.0,1.5,1.0,1.0,0.75,0.0,1.0,1.0,1.0,17.0,17.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
0.0,13.0,183.0,7.0,0.0,2.0,0.0,19.0,3.0,23.0,0.0,7.0,3.0,5.0,55.0,1.0,5.0,17.0,33.0,3.0,3.0,9.0,2.0,70.0,17.0,9.0,35.0,106.0,32.0,0.52,22.0,67.0,7.0,52.0,1.0,5.0,4.0,73.0,3.0,0.0,3.0,1.0,5.0,2.8,1.0,13.0,7.8,1.0,9.0,4.0,1.0,4.0,2.14285714285714,0.0,1.0,1.0,1.0,56.0,50.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
0.0,28.0,228.0,18.0,0.0,4.0,1.0,25.0,7.0,42.0,0.0,10.0,7.0,3.0,49.0,1.0,3.0,22.0,39.0,3.0,4.0,21.0,0.0,122.0,22.0,13.0,36.0,158.0,50.0,0.31,21.0,86.0,18.0,64.0,3.0,3.0,8.0,46.0,3.0,1.0,2.0,1.0,7.0,4.33333333333333,1.0,15.0,7.66666666666667,1.0,22.0,8.66666666666667,1.0,2.0,1.6,0.0,1.0,1.0,1.0,86.0,94.0,0.964912280701754,1.0,0.0,1.0,1.0,1.0,0.0
