CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,RealBugCount
0.0,46.0,741.0,42.0,0.0,5.0,1.0,135.0,10.0,56.0,1.0,4.0,10.0,11.0,91.0,1.0,11.0,109.0,98.0,8.0,27.0,60.0,3.0,335.0,109.0,59.0,106.0,547.0,238.0,0.17,104.0,344.0,42.0,236.0,6.0,10.0,12.0,80.0,1.0,0.0,3.0,1.0,24.0,7.36363636363636,2.0,23.0,10.9090909090909,2.0,197416.0,18111.2727272727,1.0,8.0,3.85714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.975708502024291,0.0,0.0,1.0,0.0,2.0,0.0
3.0,51.0,315.0,17.0,0.0,1.0,0.0,34.0,8.0,56.0,1.0,3.0,8.0,4.0,70.0,1.0,4.0,33.0,54.0,0.0,4.0,18.0,1.0,142.0,33.0,4.0,58.0,228.0,88.0,0.31,25.0,146.0,17.0,115.0,3.0,3.0,9.0,43.0,1.0,0.0,1.0,1.0,7.0,5.0,4.0,26.0,13.0,4.0,3120.0,807.75,1.0,6.0,4.16666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.933333333333333,0.0,0.0,1.0,0.0,2.0,0.0
2.0,13.0,186.0,3.0,0.0,1.0,12.0,5.0,2.0,18.0,1.0,2.0,2.0,3.0,78.0,1.0,3.0,5.0,36.0,0.0,3.0,3.0,1.0,67.0,5.0,3.0,34.0,86.0,23.0,0.91,24.0,57.0,3.0,51.0,3.0,2.0,2.0,57.0,1.0,0.0,2.0,1.0,16.0,9.33333333333333,3.0,9.0,6.0,4.0,3.0,1.66666666666667,1.0,1.0,0.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.967741935483871,0.0,0.0,1.0,0.0,1.0,0.0
0.0,4.0,137.0,4.0,0.0,1.0,0.0,15.0,1.0,8.0,1.0,4.0,1.0,11.0,61.0,1.0,11.0,15.0,21.0,0.0,2.0,4.0,11.0,25.0,15.0,11.0,22.0,57.0,20.0,1.07,19.0,42.0,4.0,26.0,0.0,10.0,1.0,86.0,1.0,0.0,0.0,2.0,3.0,0.727272727272727,0.0,4.0,1.45454545454545,1.0,4.0,1.36363636363636,1.0,2.0,0.642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.956204379562044,0.0,0.0,1.0,0.0,1.0,0.0
0.0,4.0,134.0,4.0,0.0,1.0,0.0,15.0,1.0,8.0,1.0,4.0,1.0,11.0,59.0,1.0,11.0,15.0,21.0,0.0,2.0,4.0,11.0,24.0,15.0,11.0,22.0,56.0,20.0,1.05,19.0,42.0,4.0,26.0,0.0,10.0,1.0,95.0,1.0,0.0,0.0,2.0,2.0,0.454545454545455,0.0,4.0,1.27272727272727,1.0,4.0,1.36363636363636,1.0,2.0,0.538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.955223880597015,0.0,0.0,1.0,0.0,1.0,0.0
0.0,4.0,138.0,4.0,0.0,1.0,0.0,15.0,1.0,8.0,1.0,4.0,1.0,11.0,60.0,1.0,11.0,15.0,21.0,0.0,2.0,4.0,11.0,25.0,15.0,11.0,22.0,57.0,20.0,1.05,21.0,42.0,4.0,26.0,0.0,10.0,1.0,86.0,1.0,0.0,0.0,2.0,3.0,0.727272727272727,0.0,4.0,1.45454545454545,1.0,4.0,1.36363636363636,1.0,2.0,0.538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.956521739130435,0.0,0.0,1.0,0.0,1.0,0.0
0.0,4.0,137.0,4.0,0.0,1.0,0.0,15.0,1.0,8.0,1.0,4.0,1.0,11.0,60.0,1.0,11.0,15.0,21.0,0.0,2.0,4.0,11.0,25.0,15.0,11.0,22.0,57.0,20.0,1.05,20.0,42.0,4.0,26.0,0.0,10.0,1.0,86.0,1.0,0.0,0.0,2.0,3.0,0.727272727272727,0.0,4.0,1.45454545454545,1.0,4.0,1.36363636363636,1.0,2.0,0.538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.956204379562044,0.0,0.0,1.0,0.0,1.0,0.0
0.0,4.0,137.0,4.0,0.0,1.0,0.0,15.0,1.0,8.0,1.0,4.0,1.0,11.0,60.0,1.0,11.0,15.0,21.0,0.0,2.0,4.0,11.0,25.0,15.0,11.0,22.0,57.0,20.0,1.05,20.0,42.0,4.0,26.0,0.0,10.0,1.0,86.0,1.0,0.0,0.0,2.0,3.0,0.727272727272727,0.0,4.0,1.45454545454545,1.0,4.0,1.36363636363636,1.0,2.0,0.538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.956204379562044,0.0,0.0,1.0,0.0,1.0,0.0
1.0,11.0,122.0,4.0,0.0,1.0,7.0,10.0,2.0,11.0,4.0,0.0,2.0,4.0,34.0,1.0,4.0,9.0,35.0,0.0,0.0,5.0,3.0,43.0,9.0,4.0,32.0,73.0,18.0,0.47,18.0,50.0,4.0,41.0,0.0,0.0,3.0,71.0,1.0,0.0,0.0,1.0,10.0,4.75,2.0,5.0,3.75,3.0,4.0,2.25,1.0,2.0,1.33333333333333,0.0,1.0,1.0,1.0,11.0,2.0,0.909836065573771,1.0,0.0,2.0,1.0,0.0,0.0
0.0,19.0,60.0,3.0,0.0,1.0,0.0,3.0,3.0,19.0,1.0,0.0,3.0,1.0,23.0,1.0,1.0,3.0,10.0,0.0,0.0,3.0,1.0,13.0,3.0,1.0,10.0,25.0,8.0,0.92,12.0,18.0,3.0,14.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,2.0,0.0,0.0,0.0
