CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,RealBugCount
0.0,1.0,165.0,1.0,15.0,1.0,3.0,15.0,1.0,7.0,0.0,6.0,1.0,15.0,125.0,1.0,15.0,15.0,20.0,0.0,0.0,1.0,0.0,3.0,15.0,15.0,20.0,21.0,0.0,5.95,19.0,20.0,1.0,19.0,0.0,15.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.866666666666667,0.0,1.0,1.0,1.0,6.0,0.333333333333333,0.0,2.0,2.0,2.0,4.0,6.0,0.987878787878788,0.5,0.0,1.0,2.0,1.0,0.0
0.0,2.0,341.0,1.0,0.0,1.0,3.0,59.0,1.0,3.0,0.0,0.0,1.0,59.0,124.0,1.0,59.0,59.0,64.0,0.0,0.0,1.0,59.0,45.0,59.0,59.0,64.0,149.0,42.0,0.83,68.0,106.0,1.0,63.0,0.0,59.0,1.0,96.0,1.0,0.0,0.0,2.0,22.0,4.42372881355932,0.0,2.0,1.54237288135593,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,2.0,32.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,21.0,1.0,2.0,2.0,4.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,4.0,7.0,1.0,3.0,5.0,5.0,1.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
7.0,18.0,382.0,13.0,0.0,1.0,3.0,42.0,4.0,22.0,2.0,0.0,4.0,12.0,23.0,3.0,12.0,42.0,93.0,1.0,4.0,13.0,4.0,192.0,42.0,14.0,96.0,285.0,128.0,0.08,77.0,224.0,13.0,171.0,4.0,10.0,4.0,87.0,1.0,0.0,9.0,2.0,9.0,3.5,2.0,17.0,7.33333333333333,1.0,400.0,35.5833333333333,1.0,4.0,1.875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,5.0,70.0,2.0,0.0,1.0,0.0,6.0,1.0,7.0,0.0,0.0,1.0,5.0,26.0,1.0,5.0,6.0,11.0,2.0,0.0,2.0,3.0,16.0,6.0,5.0,11.0,31.0,12.0,0.84,13.0,23.0,2.0,16.0,1.0,5.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,1.0,5.0,2.8,2.0,2.0,1.2,1.0,4.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,3.0,41.0,1.0,0.0,1.0,0.0,2.0,1.0,4.0,0.0,1.0,1.0,2.0,26.0,1.0,2.0,2.0,5.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,5.0,10.0,2.0,2.6,5.0,7.0,1.0,4.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,3.0,35.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,2.0,20.0,1.0,2.0,2.0,5.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,5.0,10.0,2.0,2.0,5.0,7.0,1.0,4.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,11.0,193.0,14.0,0.0,1.0,2.0,41.0,3.0,12.0,0.0,0.0,3.0,12.0,26.0,1.0,12.0,40.0,25.0,3.0,1.0,14.0,8.0,101.0,40.0,15.0,27.0,140.0,90.0,0.19,29.0,117.0,14.0,78.0,0.0,12.0,3.0,80.0,1.0,6.0,2.0,1.0,9.0,4.66666666666667,1.0,7.0,3.58333333333333,0.0,14.0,3.33333333333333,1.0,4.0,1.21428571428571,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,12.0,198.0,13.0,0.0,1.0,0.0,29.0,3.0,14.0,0.0,0.0,3.0,9.0,48.0,1.0,9.0,28.0,34.0,1.0,3.0,13.0,8.0,81.0,28.0,12.0,36.0,117.0,61.0,0.41,36.0,97.0,13.0,69.0,2.0,9.0,3.0,59.0,2.0,0.0,0.0,1.0,5.0,2.55555555555556,0.0,15.0,4.88888888888889,0.0,24.0,4.55555555555556,1.0,4.0,1.54545454545455,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,13.0,106.0,13.0,0.0,1.0,0.0,16.0,4.0,16.0,0.0,1.0,4.0,4.0,30.0,1.0,4.0,16.0,12.0,1.0,1.0,13.0,3.0,43.0,16.0,4.0,13.0,60.0,38.0,0.5,17.0,51.0,13.0,34.0,2.0,4.0,4.0,50.0,2.0,0.0,0.0,1.0,5.0,2.25,0.0,12.0,4.5,0.0,13.0,4.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
