CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,RealBugCount
6.0,21.0,487.0,12.0,0.0,1.0,2.0,69.0,4.0,27.0,0.0,4.0,4.0,15.0,106.0,4.0,15.0,61.0,110.0,4.0,8.0,13.0,5.0,215.0,61.0,22.0,90.0,349.0,144.0,0.3,40.0,234.0,12.0,171.0,1.0,15.0,5.0,100.0,3.0,0.0,14.0,2.0,15.0,6.53333333333333,0.0,31.0,9.4,1.0,126.0,16.7333333333333,1.0,6.0,1.61904761904762,0.0,2.0,2.0,1.0,34.0,522.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
0.0,8.0,118.0,6.0,0.0,1.0,0.0,15.0,2.0,10.0,0.0,1.0,2.0,7.0,33.0,1.0,7.0,15.0,27.0,0.0,2.0,6.0,7.0,42.0,15.0,7.0,24.0,75.0,29.0,0.44,10.0,53.0,6.0,38.0,0.0,7.0,2.0,50.0,2.0,0.0,2.0,1.0,6.0,2.85714285714286,1.0,9.0,3.42857142857143,1.0,6.0,2.28571428571429,1.0,3.0,1.22222222222222,0.0,1.0,1.0,1.0,0.0,118.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
2.0,12.0,412.0,10.0,0.0,1.0,2.0,46.0,2.0,16.0,2.0,3.0,2.0,18.0,95.0,4.0,18.0,44.0,132.0,6.0,11.0,10.0,10.0,143.0,44.0,20.0,95.0,280.0,92.0,0.34,38.0,187.0,10.0,138.0,0.0,16.0,3.0,83.0,3.0,0.0,12.0,2.0,14.0,5.22222222222222,0.0,25.0,5.83333333333333,1.0,36.0,4.22222222222222,1.0,3.0,1.08695652173913,0.0,3.0,3.0,1.0,45.0,458.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
9.0,18.0,737.0,21.0,3.0,2.0,8.0,122.0,4.0,20.0,0.0,2.0,4.0,28.0,98.0,4.0,28.0,110.0,171.0,5.0,23.0,26.0,11.0,381.0,110.0,50.0,142.0,588.0,256.0,0.17,64.0,398.0,21.0,286.0,0.0,28.0,4.0,90.0,2.0,1.0,15.0,2.0,25.0,6.71428571428571,0.0,32.0,7.32142857142857,1.0,3050.0,127.0,1.0,4.0,1.33333333333333,0.0,5.0,5.0,2.0,38.0,766.0,0.97289972899729,0.8,0.0,1.0,2.0,2.0,0.0
0.0,4.0,84.0,2.0,2.0,1.0,0.0,6.0,1.0,5.0,0.0,1.0,1.0,5.0,37.0,1.0,5.0,6.0,20.0,0.0,3.0,2.0,3.0,10.0,6.0,5.0,16.0,37.0,8.0,1.0,10.0,24.0,2.0,17.0,0.0,5.0,1.0,60.0,2.0,0.0,6.0,1.0,5.0,2.0,0.0,4.0,1.4,0.0,2.0,1.2,1.0,6.0,1.125,0.0,1.0,1.0,1.0,0.0,84.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
10.0,8.0,1052.0,15.0,3.0,1.0,3.0,172.0,2.0,10.0,3.0,1.0,2.0,76.0,164.0,2.0,76.0,161.0,341.0,0.0,11.0,19.0,63.0,373.0,161.0,97.0,205.0,778.0,210.0,0.21,113.0,415.0,15.0,249.0,0.0,73.0,2.0,92.0,2.0,0.0,42.0,3.0,21.0,3.43421052631579,0.0,20.0,4.10526315789474,0.0,22.0,2.23684210526316,1.0,6.0,0.835443037974684,0.0,7.0,7.0,3.0,164.0,1151.0,0.923954372623574,0.714285714285714,0.0,2.0,3.0,1.0,3.0
0.0,1.0,85.0,1.0,0.0,1.0,1.0,4.0,1.0,11.0,0.0,10.0,1.0,4.0,60.0,1.0,4.0,4.0,14.0,0.0,0.0,1.0,4.0,1.0,4.0,4.0,10.0,15.0,0.0,4.0,10.0,10.0,1.0,9.0,0.0,4.0,1.0,100.0,2.0,1.0,2.0,1.0,6.0,3.25,1.0,1.0,0.25,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,2.0,21.0,89.0,0.776470588235294,0.666666666666667,0.0,2.0,2.0,0.0,0.0
2.0,18.0,514.0,9.0,8.0,1.0,9.0,63.0,3.0,26.0,15.0,6.0,3.0,15.0,140.0,1.0,15.0,52.0,133.0,0.0,0.0,10.0,5.0,198.0,52.0,17.0,113.0,325.0,113.0,0.43,50.0,226.0,9.0,163.0,1.0,0.0,4.0,81.0,3.0,0.0,27.0,1.0,12.0,6.06666666666667,3.0,16.0,8.53333333333333,2.0,84.0,10.7333333333333,1.0,4.0,1.72222222222222,0.0,1.0,1.0,1.0,0.0,514.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
0.0,7.0,199.0,8.0,1.0,2.0,3.0,43.0,3.0,8.0,0.0,0.0,3.0,13.0,26.0,2.0,15.0,40.0,50.0,0.0,7.0,10.0,14.0,80.0,40.0,28.0,52.0,149.0,63.0,0.17,24.0,115.0,8.0,70.0,0.0,15.0,3.0,91.0,2.0,2.0,2.0,1.0,7.0,3.13333333333333,0.0,6.0,2.2,1.0,8.0,2.53333333333333,0.0,4.0,1.55555555555556,0.0,1.0,1.0,1.0,0.0,199.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
9.0,11.0,482.0,9.0,0.0,2.0,4.0,88.0,3.0,14.0,1.0,2.0,3.0,27.0,97.0,1.0,27.0,87.0,105.0,0.0,6.0,9.0,18.0,176.0,87.0,65.0,94.0,331.0,130.0,0.29,54.0,224.0,9.0,121.0,0.0,26.0,3.0,89.0,1.0,0.0,9.0,1.0,8.0,5.55555555555556,3.0,9.0,4.33333333333333,1.0,19.0,4.14814814814815,1.0,5.0,1.89655172413793,0.0,1.0,1.0,1.0,0.0,482.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
