CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,RealBugCount
0.0,5.0,94.0,5.0,0.0,1.0,0.0,9.0,2.0,7.0,0.0,1.0,2.0,5.0,39.0,1.0,5.0,9.0,19.0,0.0,2.0,5.0,5.0,14.0,9.0,5.0,18.0,41.0,11.0,0.95,14.0,29.0,5.0,20.0,0.0,5.0,2.0,40.0,2.0,0.0,0.0,1.0,3.0,1.6,1.0,7.0,2.2,1.0,8.0,2.4,1.0,4.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,6.0,376.0,31.0,0.0,1.0,0.0,74.0,2.0,7.0,0.0,0.0,2.0,33.0,22.0,4.0,33.0,67.0,87.0,0.0,15.0,36.0,33.0,136.0,67.0,33.0,90.0,275.0,110.0,0.08,79.0,200.0,31.0,130.0,0.0,33.0,2.0,89.0,2.0,1.0,3.0,2.0,21.0,1.81818181818182,1.0,26.0,2.39393939393939,1.0,1034880.0,31361.0909090909,1.0,4.0,0.473684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.553191489361702,0.0,0.0,3.0,0.0,3.0,1.0
0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,5.5,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.333333333333333,0.0,1.0,1.0,1.0,28.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
0.0,4.0,127.0,2.0,0.0,1.0,0.0,12.0,1.0,5.0,0.0,0.0,1.0,8.0,29.0,3.0,8.0,11.0,53.0,0.0,3.0,3.0,8.0,19.0,11.0,8.0,32.0,82.0,14.0,0.35,16.0,46.0,2.0,32.0,0.0,8.0,2.0,71.0,2.0,0.0,7.0,2.0,4.0,2.0,0.0,5.0,1.75,1.0,2.0,1.375,1.0,1.0,0.416666666666667,0.0,1.0,1.0,1.0,127.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
5.0,24.0,743.0,22.0,2.0,2.0,4.0,118.0,5.0,32.0,5.0,4.0,5.0,21.0,110.0,4.0,21.0,105.0,159.0,0.0,4.0,25.0,14.0,371.0,105.0,43.0,170.0,548.0,247.0,0.2,90.0,417.0,22.0,306.0,3.0,16.0,6.0,88.0,1.0,0.0,27.0,2.0,16.0,4.52380952380952,1.0,61.0,10.3809523809524,1.0,1949.0,101.809523809524,1.0,7.0,2.03703703703704,0.0,5.0,5.0,3.0,26.0,6.0,0.261103633916555,0.6,0.0,7.0,3.0,6.0,0.0
0.0,5.0,141.0,3.0,0.0,1.0,0.0,14.0,1.0,5.0,0.0,0.0,1.0,10.0,44.0,1.0,10.0,14.0,37.0,0.0,10.0,3.0,10.0,28.0,14.0,12.0,37.0,77.0,23.0,0.57,21.0,60.0,3.0,45.0,0.0,10.0,1.0,84.0,2.0,0.0,5.0,1.0,10.0,3.2,0.0,5.0,2.3,1.0,3.0,1.4,1.0,2.0,0.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.439716312056738,0.0,0.0,4.0,0.0,2.0,0.0
1.0,21.0,194.0,6.0,0.0,1.0,1.0,15.0,3.0,28.0,0.0,2.0,3.0,5.0,32.0,1.0,5.0,14.0,29.0,0.0,3.0,7.0,4.0,92.0,14.0,7.0,32.0,128.0,45.0,0.25,34.0,77.0,6.0,58.0,5.0,5.0,3.0,65.0,1.0,0.0,2.0,1.0,7.0,4.2,2.0,20.0,8.4,1.0,9.0,4.2,1.0,2.0,1.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.412371134020619,0.0,0.0,4.0,0.0,2.0,0.0
3.0,14.0,209.0,13.0,0.0,1.0,8.0,27.0,3.0,16.0,3.0,1.0,3.0,8.0,32.0,1.0,8.0,24.0,70.0,0.0,1.0,16.0,5.0,92.0,24.0,8.0,65.0,153.0,57.0,0.21,25.0,122.0,13.0,97.0,0.0,5.0,3.0,83.0,1.0,0.0,3.0,2.0,6.0,3.25,1.0,24.0,6.25,1.0,264.0,34.375,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.507177033492823,0.0,0.0,2.0,0.0,0.0,0.0
1.0,10.0,102.0,1.0,0.0,1.0,0.0,3.0,1.0,17.0,0.0,3.0,1.0,3.0,31.0,1.0,3.0,3.0,36.0,0.0,0.0,1.0,2.0,25.0,3.0,3.0,36.0,53.0,13.0,0.58,18.0,49.0,1.0,45.0,3.0,3.0,1.0,0.0,2.0,0.0,8.0,1.0,6.0,2.66666666666667,1.0,15.0,11.3333333333333,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,1.0,45.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,30.0,4.0,2.0,2.0,9.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,8.0,10.0,0.0,3.0,6.0,8.0,1.0,6.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
