CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,RealBugCount
1.0,9.0,234.0,6.0,0.0,1.0,0.0,26.0,2.0,11.0,0.0,0.0,2.0,13.0,34.0,2.0,13.0,22.0,59.0,5.0,7.0,6.0,7.0,94.0,26.0,13.0,62.0,159.0,70.0,0.21,41.0,132.0,5.0,109.0,1.0,13.0,2.0,80.0,2.0,3.0,1.0,2.0,13.0,3.46153846153846,1.0,21.0,4.38461538461539,1.0,16.0,2.84615384615385,1.0,3.0,0.941176470588235,0.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
0.0,7.0,16.0,2.0,0.0,1.0,0.0,2.0,2.0,7.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,2.0,5.0,0.0,0.0,2.0,1.0,4.0,2.0,1.0,5.0,11.0,3.0,0.27,2.0,8.0,2.0,5.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,3.0,18.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,6.0,1.0,1.0,1.0,5.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,8.0,1.0,0.75,4.0,6.0,1.0,4.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,5.0,20.0,2.0,0.0,1.0,0.0,3.0,2.0,5.0,0.0,0.0,2.0,2.0,3.0,1.0,2.0,3.0,6.0,0.0,0.0,2.0,2.0,5.0,3.0,2.0,6.0,14.0,4.0,0.21,3.0,10.0,2.0,6.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,1.0,1.0,0.5,0.0,2.0,1.5,1.0,2.0,1.5,1.0,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,3.0,23.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,2.0,6.0,1.0,2.0,2.0,8.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,8.0,12.0,2.0,0.5,5.0,10.0,1.0,7.0,0.0,2.0,1.0,50.0,3.0,2.0,0.0,1.0,4.0,2.5,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,27.0,63.0,5.0,0.0,1.0,0.0,5.0,5.0,27.0,0.0,0.0,5.0,1.0,16.0,1.0,1.0,5.0,19.0,0.0,4.0,5.0,1.0,25.0,5.0,1.0,19.0,41.0,17.0,0.39,6.0,36.0,5.0,30.0,0.0,1.0,5.0,0.0,3.0,0.0,0.0,1.0,4.0,4.0,4.0,13.0,13.0,13.0,8.0,8.0,8.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,43.0,86.0,13.0,0.0,1.0,0.0,15.0,13.0,56.0,0.0,5.0,13.0,1.0,13.0,1.0,1.0,13.0,21.0,0.0,11.0,15.0,1.0,36.0,13.0,1.0,21.0,61.0,35.0,0.21,12.0,56.0,13.0,43.0,8.0,1.0,15.0,0.0,1.0,0.0,3.0,1.0,14.0,14.0,14.0,20.0,20.0,20.0,54.0,54.0,54.0,3.0,3.0,3.0,2.0,2.0,1.0,95.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
0.0,1.0,74.0,1.0,12.0,1.0,0.0,12.0,1.0,4.0,0.0,3.0,1.0,12.0,48.0,1.0,12.0,12.0,22.0,0.0,0.0,1.0,0.0,0.0,12.0,12.0,20.0,23.0,0.0,2.09,3.0,20.0,1.0,19.0,0.0,12.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,2.58333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,7.0,2.0,44.0,9.0,1.0,0.857142857142857,0.0,1.0,2.0,0.0,0.0
0.0,1.0,19.0,1.0,3.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,3.0,5.0,1.0,3.0,3.0,11.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,9.0,12.0,0.0,0.42,2.0,9.0,1.0,8.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,6.0,1.0,26.0,26.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
0.0,3.0,79.0,1.0,0.0,1.0,0.0,5.0,1.0,5.0,0.0,2.0,1.0,5.0,45.0,1.0,5.0,5.0,13.0,0.0,2.0,1.0,5.0,7.0,5.0,5.0,13.0,26.0,7.0,1.73,8.0,20.0,1.0,14.0,0.0,5.0,1.0,60.0,2.0,0.0,4.0,1.0,5.0,3.6,1.0,4.0,1.8,1.0,1.0,1.0,1.0,2.0,0.25,0.0,1.0,1.0,1.0,2.0,2.0,0.481012658227848,1.0,0.0,4.0,1.0,1.0,0.0
