classname , numberOfVersionsUntil, numberOfFixesUntil, numberOfRefactoringsUntil, numberOfAuthorsUntil, linesAddedUntil, maxLinesAddedUntil, avgLinesAddedUntil, linesRemovedUntil, maxLinesRemovedUntil, avgLinesRemovedUntil, codeChurnUntil:, maxCodeChurnUntil, avgCodeChurnUntil, ageWithRespectTo, weightedAgeWithRespectTo, bugs , nonTrivialBugs , majorBugs , criticalBugs , highPriorityBugs , 
org::eclipse::mylyn::internal::trac::core::util::TracUtil ,7,1,0,2,22,10,3.14286,8,3,1.14286,14,10,2,38.2857,10.5779,0,0,0,0,0, 
org::eclipse::mylyn::internal::sandbox::bridge::bugs::ProgressQueryHitCollector ,14,0,0,3,60,33,4.28571,45,26,3.21429,15,7,1.07143,91.7143,43.4024,0,0,0,0,0, 
org::eclipse::mylyn::internal::jira::core::model::filter::DateRangeFilter ,10,0,0,2,13,5,1.3,15,5,1.5,-2,4,-0.2,110.714,56.3626,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::textile::core::phrase::EscapeTextilePhraseModifier ,3,0,0,2,6,4,2,8,6,2.66667,-2,0,-0.666667,32.7143,5.42857,0,0,0,0,0, 
org::eclipse::mylyn::internal::java::ui::search::JavaImplementorsProvider ,4,0,0,2,7,4,1.75,7,4,1.75,0,3,0,92.4286,60.1428,0,0,0,0,0, 
org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteVersion ,9,0,0,2,219,191,24.3333,240,212,26.6667,-21,7,-2.33333,110.714,24.015,0,0,0,0,0, 
org::eclipse::mylyn::tasklist::tests::Person ,3,1,1,2,1,1,0.333333,0,0,0,1,1,0.333333,190.571,9,0,0,0,0,0, 
org::eclipse::mylyn::internal::bugzilla::ui::actions::ViewFavoriteAction ,3,0,1,1,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::actions::SynchronizeSelectedAction ,39,0,0,3,281,98,7.20513,245,37,6.28205,36,61,0.923077,139.429,40.9451,0,0,0,0,0, 
org::eclipse::mylyn::internal::jira::core::model::Subtask ,6,0,0,2,10,5,1.66667,9,4,1.5,1,4,0.166667,93.2857,41.2714,0,0,0,0,0, 
