CountDeclMethodPrivate,AvgLineCode,CountLine,MaxCyclomatic,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,SumCyclomaticStrict,AvgCyclomatic,AvgLine,CountDeclClassMethod,AvgLineComment,AvgCyclomaticModified,CountDeclFunction,CountLineComment,CountDeclClass,CountDeclMethod,SumCyclomaticModified,CountLineCodeDecl,CountDeclMethodProtected,CountDeclInstanceVariable,MaxCyclomaticStrict,CountDeclMethodPublic,CountLineCodeExe,SumCyclomatic,SumEssential,CountStmtDecl,CountLineCode,CountStmtExe,RatioCommentToCode,CountLineBlank,CountStmt,MaxCyclomaticModified,CountSemicolon,AvgLineBlank,CountDeclInstanceMethod,AvgCyclomaticStrict,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Max,CountInput_Mean,CountInput_Min,CountOutput_Max,CountOutput_Mean,CountOutput_Min,CountPath_Max,CountPath_Mean,CountPath_Min,MaxNesting_Max,MaxNesting_Mean,MaxNesting_Min,COMM,ADEV,DDEV,Added_lines,Del_lines,OWN_LINE,OWN_COMMIT,MINOR_COMMIT,MINOR_LINE,MAJOR_COMMIT,MAJOR_LINE,RealBugCount
0.0,10.0,212.0,8.0,0.0,1.0,0.0,18.0,2.0,18.0,0.0,7.0,2.0,8.0,91.0,1.0,8.0,18.0,35.0,3.0,1.0,8.0,5.0,40.0,18.0,11.0,35.0,106.0,27.0,0.86,15.0,62.0,8.0,45.0,0.0,8.0,2.0,50.0,1.0,2.0,6.0,2.0,4.0,2.125,1.0,11.0,3.875,1.0,17.0,3.375,1.0,3.0,1.36363636363636,0.0,6.0,6.0,3.0,396.0,5.0,0.966981132075472,0.666666666666667,0.0,1.0,3.0,1.0,0.0
0.0,4.0,273.0,3.0,0.0,1.0,1.0,18.0,1.0,12.0,8.0,7.0,1.0,15.0,157.0,1.0,15.0,18.0,34.0,1.0,3.0,3.0,14.0,24.0,18.0,15.0,34.0,94.0,22.0,1.67,22.0,56.0,3.0,37.0,0.0,7.0,1.0,86.0,4.0,0.0,7.0,1.0,7.0,2.53333333333333,1.0,3.0,1.93333333333333,1.0,4.0,1.26666666666667,1.0,1.0,0.277777777777778,0.0,2.0,2.0,2.0,546.0,0.0,0.937728937728938,0.5,0.0,2.0,2.0,0.0,0.0
0.0,4.0,231.0,2.0,0.0,1.0,1.0,12.0,1.0,14.0,8.0,9.0,1.0,11.0,147.0,1.0,11.0,12.0,27.0,0.0,1.0,2.0,11.0,15.0,12.0,11.0,27.0,67.0,14.0,2.19,17.0,41.0,2.0,28.0,0.0,3.0,1.0,86.0,8.0,0.0,5.0,2.0,8.0,3.09090909090909,1.0,3.0,2.27272727272727,1.0,2.0,1.09090909090909,1.0,1.0,0.285714285714286,0.0,3.0,3.0,3.0,463.0,1.0,0.917748917748918,0.333333333333333,0.0,2.0,3.0,1.0,0.0
0.0,6.0,104.0,2.0,0.0,1.0,1.0,4.0,1.0,16.0,0.0,9.0,1.0,3.0,64.0,1.0,3.0,4.0,14.0,1.0,1.0,2.0,2.0,8.0,4.0,3.0,14.0,30.0,6.0,2.13,10.0,20.0,2.0,15.0,0.0,3.0,1.0,50.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,6.0,3.33333333333333,1.0,2.0,1.33333333333333,1.0,1.0,0.6,0.0,2.0,2.0,2.0,210.0,0.0,0.971428571428571,0.5,0.0,1.0,2.0,1.0,0.0
0.0,5.0,128.0,2.0,0.0,1.0,1.0,5.0,1.0,18.0,0.0,12.0,1.0,4.0,86.0,1.0,4.0,5.0,15.0,1.0,1.0,2.0,3.0,9.0,5.0,4.0,15.0,33.0,7.0,2.61,9.0,22.0,2.0,16.0,0.0,4.0,1.0,75.0,2.0,0.0,1.0,1.0,5.0,2.5,0.0,4.0,3.25,2.0,2.0,1.25,1.0,1.0,0.5,0.0,2.0,2.0,2.0,258.0,0.0,0.968992248062015,0.5,0.0,1.0,2.0,1.0,0.0
1.0,22.0,276.0,7.0,0.0,1.0,4.0,15.0,2.0,35.0,0.0,11.0,2.0,8.0,125.0,2.0,8.0,15.0,34.0,3.0,0.0,7.0,4.0,71.0,15.0,8.0,37.0,128.0,56.0,0.98,23.0,93.0,7.0,78.0,2.0,8.0,2.0,100.0,3.0,0.0,3.0,2.0,3.0,1.75,1.0,13.0,3.5,0.0,11.0,2.375,1.0,4.0,1.33333333333333,0.0,5.0,5.0,4.0,556.0,4.0,0.920289855072464,0.4,0.0,1.0,4.0,4.0,0.0
1.0,6.0,135.0,2.0,0.0,1.0,1.0,10.0,1.0,12.0,0.0,6.0,1.0,7.0,67.0,1.0,7.0,10.0,19.0,1.0,2.0,2.0,5.0,18.0,10.0,7.0,19.0,55.0,15.0,1.22,13.0,34.0,2.0,25.0,0.0,7.0,1.0,76.0,7.0,0.0,4.0,1.0,4.0,1.42857142857143,0.0,7.0,3.14285714285714,2.0,2.0,1.14285714285714,1.0,1.0,0.333333333333333,0.0,9.0,9.0,3.0,323.0,66.0,0.940740740740741,0.666666666666667,0.0,2.0,3.0,0.0,2.0
1.0,11.0,360.0,7.0,0.0,1.0,2.0,26.0,2.0,19.0,0.0,7.0,2.0,14.0,133.0,2.0,14.0,26.0,62.0,8.0,1.0,7.0,5.0,98.0,26.0,14.0,63.0,200.0,69.0,0.67,27.0,132.0,7.0,106.0,0.0,14.0,2.0,100.0,3.0,0.0,17.0,2.0,5.0,2.0,0.0,22.0,4.28571428571429,0.0,11.0,2.21428571428571,1.0,4.0,0.941176470588235,0.0,16.0,16.0,6.0,1032.0,217.0,0.905555555555556,0.6875,0.0,2.0,6.0,2.0,2.0
3.0,8.0,332.0,7.0,0.0,1.0,4.0,30.0,2.0,14.0,1.0,5.0,2.0,16.0,116.0,2.0,16.0,30.0,59.0,1.0,8.0,7.0,12.0,72.0,30.0,18.0,59.0,176.0,52.0,0.66,40.0,111.0,7.0,84.0,0.0,15.0,2.0,84.0,7.0,0.0,13.0,1.0,6.0,2.0625,1.0,17.0,4.25,1.0,10.0,1.9375,1.0,3.0,0.631578947368421,0.0,10.0,10.0,3.0,820.0,192.0,0.954819277108434,0.7,0.0,1.0,3.0,1.0,2.0
1.0,3.0,37.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,0.0,3.0,1.0,1.0,24.0,1.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,9.0,0.0,2.67,4.0,5.0,1.0,3.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,74.0,2.0,0.945945945945946,0.333333333333333,0.0,2.0,3.0,0.0,0.0
0.0,10.0,52.0,1.0,0.0,1.0,0.0,1.0,1.0,19.0,0.0,7.0,1.0,1.0,33.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,7.0,1.0,1.0,3.0,14.0,2.0,2.36,5.0,5.0,1.0,3.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,1.0,4.0,1.0,0.0,5.0,5.0,3.0,125.0,18.0,0.846153846153846,0.6,0.0,2.0,3.0,1.0,0.0
0.0,6.0,193.0,1.0,0.0,1.0,2.0,10.0,1.0,14.0,0.0,7.0,1.0,10.0,98.0,2.0,10.0,10.0,32.0,3.0,2.0,1.0,7.0,29.0,10.0,10.0,32.0,77.0,19.0,1.27,18.0,51.0,1.0,40.0,0.0,10.0,1.0,100.0,7.0,0.0,7.0,2.0,5.0,3.0,1.0,5.0,3.2,2.0,1.0,1.0,1.0,2.0,0.142857142857143,0.0,2.0,2.0,2.0,386.0,0.0,0.849740932642487,0.5,0.0,3.0,2.0,0.0,0.0
2.0,8.0,466.0,3.0,0.0,1.0,4.0,34.0,1.0,14.0,0.0,5.0,1.0,25.0,190.0,4.0,25.0,34.0,67.0,14.0,2.0,3.0,9.0,105.0,34.0,25.0,63.0,233.0,73.0,0.82,43.0,136.0,3.0,99.0,0.0,25.0,1.0,100.0,6.0,2.0,10.0,2.0,6.0,2.56,1.0,10.0,3.48,1.0,3.0,1.36,1.0,2.0,0.533333333333333,0.0,8.0,8.0,4.0,933.0,18.0,0.809012875536481,0.375,0.0,2.0,4.0,3.0,0.0
0.0,9.0,201.0,2.0,0.0,1.0,5.0,14.0,1.0,14.0,0.0,4.0,1.0,13.0,76.0,5.0,13.0,14.0,33.0,5.0,2.0,2.0,8.0,47.0,14.0,13.0,37.0,105.0,24.0,0.72,20.0,61.0,2.0,46.0,0.0,13.0,1.0,100.0,7.0,0.0,6.0,2.0,2.0,1.38461538461538,1.0,6.0,2.15384615384615,1.0,2.0,1.07692307692308,1.0,1.0,0.157894736842105,0.0,2.0,2.0,2.0,402.0,0.0,0.855721393034826,0.5,0.0,3.0,2.0,0.0,0.0
